# gRPC Connection Pool Benchmark Results
# Date: 2026-05-06 13:01:09 UTC
# Repo: yarpc-go
# Branch: feature-grpc-connection-pooling-benchmarking
# Commit: ef8885b9
# GOMAXPROCS: 48
# benchtime: 500ms per benchmark
# Command: <test-binary> -test.bench=. -test.benchtime=500ms -test.benchmem
#
# Columns: name  iterations  ns/op  B/op  allocs/op  description
#
BenchmarkIncStreamCount-48                            	225865573	         2.775 ns/op	       0 B/op	       0 allocs/op	Atomic increment of active stream count on a connection (called on RPC start)
BenchmarkDecStreamCount-48                            	242826298	         2.506 ns/op	       0 B/op	       0 allocs/op	Atomic decrement of active stream count on a connection (called on RPC end)
BenchmarkGetStreamCount-48                            	1000000000	         0.4051 ns/op	       0 B/op	       0 allocs/op	Atomic read of stream count (called during pickConn to find least-loaded conn)
BenchmarkIncDecStreamCount-48                         	100000000	         5.117 ns/op	       0 B/op	       0 allocs/op	Paired inc+dec simulating the full stream lifecycle of one RPC (serial)
BenchmarkIncDecStreamCountParallel-48                 	20436100	        34.01 ns/op	       0 B/op	       0 allocs/op	Concurrent paired inc+dec across 48 goroutines — models high-throughput RPC traffic
BenchmarkGetState-48                                  	1000000000	         0.3445 ns/op	       0 B/op	       0 allocs/op	Atomic read of connection state (active/draining/idle)
BenchmarkSetState-48                                  	100000000	         5.201 ns/op	       0 B/op	       0 allocs/op	Atomic write of connection state
BenchmarkIsActive-48                                  	1000000000	         0.3806 ns/op	       0 B/op	       0 allocs/op	Check whether a connection is in the active state (hot path in pickConn)
BenchmarkPickConn/conns=1-48                          	54512800	         9.313 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active connection from the pool (serial, varying pool sizes)
BenchmarkPickConn/conns=2-48                          	38934368	        13.46 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active connection from the pool (serial, varying pool sizes)
BenchmarkPickConn/conns=4-48                          	53325326	        15.56 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active connection from the pool (serial, varying pool sizes)
BenchmarkPickConn/conns=8-48                          	34174249	        16.13 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active connection from the pool (serial, varying pool sizes)
BenchmarkPickConn/conns=16-48                         	28456885	        19.39 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active connection from the pool (serial, varying pool sizes)
BenchmarkPickConn/conns=32-48                         	15965966	        34.52 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active connection from the pool (serial, varying pool sizes)
BenchmarkPickConnUniformLoad/conns=1-48               	82076434	         7.358 ns/op	       0 B/op	       0 allocs/op	pickConn when all connections have identical stream counts
BenchmarkPickConnUniformLoad/conns=2-48               	85852250	         8.173 ns/op	       0 B/op	       0 allocs/op	pickConn when all connections have identical stream counts
BenchmarkPickConnUniformLoad/conns=4-48               	56789092	        10.50 ns/op	       0 B/op	       0 allocs/op	pickConn when all connections have identical stream counts
BenchmarkPickConnUniformLoad/conns=8-48               	41538570	        12.73 ns/op	       0 B/op	       0 allocs/op	pickConn when all connections have identical stream counts
BenchmarkPickConnUniformLoad/conns=16-48              	31454160	        19.72 ns/op	       0 B/op	       0 allocs/op	pickConn when all connections have identical stream counts
BenchmarkPickConnUniformLoad/conns=32-48              	18375424	        32.63 ns/op	       0 B/op	       0 allocs/op	pickConn when all connections have identical stream counts
BenchmarkPickConnSkewedLoad/conns=1-48                	97212751	         6.257 ns/op	       0 B/op	       0 allocs/op	pickConn when one connection carries 10x more streams than others
BenchmarkPickConnSkewedLoad/conns=2-48                	72588614	         7.100 ns/op	       0 B/op	       0 allocs/op	pickConn when one connection carries 10x more streams than others
BenchmarkPickConnSkewedLoad/conns=4-48                	61695712	         8.307 ns/op	       0 B/op	       0 allocs/op	pickConn when one connection carries 10x more streams than others
BenchmarkPickConnSkewedLoad/conns=8-48                	45113161	        12.37 ns/op	       0 B/op	       0 allocs/op	pickConn when one connection carries 10x more streams than others
BenchmarkPickConnSkewedLoad/conns=16-48               	31942131	        17.82 ns/op	       0 B/op	       0 allocs/op	pickConn when one connection carries 10x more streams than others
BenchmarkPickConnSkewedLoad/conns=32-48               	17359405	        29.86 ns/op	       0 B/op	       0 allocs/op	pickConn when one connection carries 10x more streams than others
BenchmarkPickConnParallel/conns=1-48                  	15456520	        37.76 ns/op	       0 B/op	       0 allocs/op	pickConn under 48 concurrent goroutines — measures RWMutex contention
BenchmarkPickConnParallel/conns=2-48                  	14908152	        36.75 ns/op	       0 B/op	       0 allocs/op	pickConn under 48 concurrent goroutines — measures RWMutex contention
