# gRPC Connection Pool Benchmark Results — Atomic Implementation
# Date: 2026-05-06
# Branch: sanya-sharma/atomic-integers-swap
# Implementation: atomic.Pointer[[]T] copy-on-write (lock-free reads)
# GOMAXPROCS: 48  |  benchtime: 500ms
#
# Columns: name  iterations  ns/op  B/op  allocs/op  description
#
BenchmarkIncStreamCount-48                            	240865375	         2.581 ns/op	       0 B/op	       0 allocs/op	Atomic increment of active stream count on a connection (called on RPC start)
BenchmarkDecStreamCount-48                            	243075058	         2.548 ns/op	       0 B/op	       0 allocs/op	Atomic decrement of active stream count on a connection (called on RPC end)
BenchmarkGetStreamCount-48                            	1000000000	         0.3256 ns/op	       0 B/op	       0 allocs/op	Atomic read of stream count (called during pickConn to find least-loaded conn)
BenchmarkIncDecStreamCount-48                         	100000000	         5.063 ns/op	       0 B/op	       0 allocs/op	Paired inc+dec simulating the full stream lifecycle of one RPC (serial)
BenchmarkIncDecStreamCountParallel-48                 	20555281	        24.53 ns/op	       0 B/op	       0 allocs/op	Concurrent paired inc+dec across 48 goroutines — models high-throughput RPC traffic
BenchmarkGetState-48                                  	1000000000	         0.3272 ns/op	       0 B/op	       0 allocs/op	Atomic read of connection state (active/draining/idle)
BenchmarkSetState-48                                  	120066482	         4.991 ns/op	       0 B/op	       0 allocs/op	Atomic write of connection state
BenchmarkIsActive-48                                  	1000000000	         0.3274 ns/op	       0 B/op	       0 allocs/op	Check whether a connection is in the active state (hot path in pickConn)
BenchmarkPickConn/conns=1-48                          	187608150	         3.199 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active conn from the pool — lock-free atomic.Pointer.Load() (serial)
BenchmarkPickConn/conns=2-48                          	152499246	         4.309 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active conn from the pool — lock-free atomic.Pointer.Load() (serial)
BenchmarkPickConn/conns=4-48                          	109875028	         5.646 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active conn from the pool — lock-free atomic.Pointer.Load() (serial)
BenchmarkPickConn/conns=8-48                          	65897286	         8.548 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active conn from the pool — lock-free atomic.Pointer.Load() (serial)
BenchmarkPickConn/conns=16-48                         	38082207	        15.32 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active conn from the pool — lock-free atomic.Pointer.Load() (serial)
BenchmarkPickConn/conns=32-48                         	20584237	        26.00 ns/op	       0 B/op	       0 allocs/op	Select the least-loaded active conn from the pool — lock-free atomic.Pointer.Load() (serial)
BenchmarkPickConnUniformLoad/conns=1-48               	188124478	         3.421 ns/op	       0 B/op	       0 allocs/op	pickConn with equal stream counts on all conns — lock-free
BenchmarkPickConnUniformLoad/conns=2-48               	154984633	         3.973 ns/op	       0 B/op	       0 allocs/op	pickConn with equal stream counts on all conns — lock-free
BenchmarkPickConnUniformLoad/conns=4-48               	100000000	         5.441 ns/op	       0 B/op	       0 allocs/op	pickConn with equal stream counts on all conns — lock-free
BenchmarkPickConnUniformLoad/conns=8-48               	57136604	         8.798 ns/op	       0 B/op	       0 allocs/op	pickConn with equal stream counts on all conns — lock-free
BenchmarkPickConnUniformLoad/conns=16-48              	41263374	        15.24 ns/op	       0 B/op	       0 allocs/op	pickConn with equal stream counts on all conns — lock-free
BenchmarkPickConnUniformLoad/conns=32-48              	23314408	        28.30 ns/op	       0 B/op	       0 allocs/op	pickConn with equal stream counts on all conns — lock-free
BenchmarkPickConnSkewedLoad/conns=1-48                	187040838	         3.160 ns/op	       0 B/op	       0 allocs/op	pickConn where one conn has much higher load — lock-free
BenchmarkPickConnSkewedLoad/conns=2-48                	155921596	         3.901 ns/op	       0 B/op	       0 allocs/op	pickConn where one conn has much higher load — lock-free
BenchmarkPickConnSkewedLoad/conns=4-48                	99208809	         5.275 ns/op	       0 B/op	       0 allocs/op	pickConn where one conn has much higher load — lock-free
BenchmarkPickConnSkewedLoad/conns=8-48                	69155901	         8.255 ns/op	       0 B/op	       0 allocs/op	pickConn where one conn has much higher load — lock-free
BenchmarkPickConnSkewedLoad/conns=16-48               	39412156	        14.77 ns/op	       0 B/op	       0 allocs/op	pickConn where one conn has much higher load — lock-free
BenchmarkPickConnSkewedLoad/conns=32-48               	20436427	        27.36 ns/op	       0 B/op	       0 allocs/op	pickConn where one conn has much higher load — lock-free
BenchmarkPickConnParallel/conns=1-48                  	1000000000	         0.08728 ns/op	       0 B/op	       0 allocs/op	pickConn under 48 concurrent goroutines — no RWMutex contention
BenchmarkPickConnParallel/conns=2-48                  	1000000000	         0.1160 ns/op	       0 B/op	       0 allocs/op	pickConn under 48 concurrent goroutines — no RWMutex contention
BenchmarkPickConnParallel/conns=4-48                  	1000000000	         0.1785 ns/op	       0 B/op	       0 allocs/op	pickConn under 48 concurrent goroutines — no RWMutex contention
BenchmarkPickConnParallel/conns=8-48                  	1000000000	         0.2979 ns/op	       0 B/op	       0 allocs/op	pickConn under 48 concurrent goroutines — no RWMutex contention
BenchmarkPickConnParallel/conns=16-48                 	1000000000	         0.4877 ns/op	       0 B/op	       0 allocs/op	pickConn under 48 concurrent goroutines — no RWMutex contention
BenchmarkPickConnParallel/conns=32-48                 	691432296	         0.9856 ns/op	       0 B/op	       0 allocs/op	pickConn under 48 concurrent goroutines — no RWMutex contention
BenchmarkPickConnMixedStates/total_conns=1-48         	188394230	         3.356 ns/op	       0 B/op	       0 allocs/op	pickConn with mix of active/draining/idle conns — draining/idle skipped
BenchmarkPickConnMixedStates/total_conns=2-48         	154272279	         3.993 ns/op	       0 B/op	       0 allocs/op	pickConn with mix of active/draining/idle conns — draining/idle skipped
BenchmarkPickConnMixedStates/total_conns=4-48         	100148318	         6.699 ns/op	       0 B/op	       0 allocs/op	pickConn with mix of active/draining/idle conns — draining/idle skipped
BenchmarkPickConnMixedStates/total_conns=8-48         	58462831	        10.14 ns/op	       0 B/op	       0 allocs/op	pickConn with mix of active/draining/idle conns — draining/idle skipped
BenchmarkPickConnMixedStates/total_conns=16-48        	32923690	        17.99 ns/op	       0 B/op	       0 allocs/op	pickConn with mix of active/draining/idle conns — draining/idle skipped
BenchmarkPickConnMixedStates/total_conns=32-48        	21827263	        28.10 ns/op	       0 B/op	       0 allocs/op	pickConn with mix of active/draining/idle conns — draining/idle skipped
BenchmarkTryScaleUpDisabled-48                        	242237052	         2.260 ns/op	       0 B/op	       0 allocs/op	tryScaleUp early-exit when scaling is disabled
BenchmarkTryScaleUpBelowThreshold-48                  	270548131	         2.397 ns/op	       0 B/op	       0 allocs/op	tryScaleUp when load is below scale-up threshold — no goroutine launched
BenchmarkTryScaleUpCASContention-48                   	169989900	         3.575 ns/op	       0 B/op	       0 allocs/op	tryScaleUp CAS when isScaling flag is already set
BenchmarkTryScaleUpBelowThresholdParallel-48          	1000000000	         0.07720 ns/op	       0 B/op	       0 allocs/op	Concurrent tryScaleUp all returning early — zero contention
BenchmarkFullRequestPath/conns=1-48                   	100000000	         5.213 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path: lock-free pickConn + atomic inc + atomic dec (serial)
BenchmarkFullRequestPath/conns=2-48                   	94336803	         5.960 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path: lock-free pickConn + atomic inc + atomic dec (serial)
BenchmarkFullRequestPath/conns=4-48                   	67711996	         9.450 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path: lock-free pickConn + atomic inc + atomic dec (serial)
BenchmarkFullRequestPath/conns=8-48                   	48733659	        12.05 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path: lock-free pickConn + atomic inc + atomic dec (serial)
BenchmarkFullRequestPath/conns=16-48                  	34297044	        16.94 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path: lock-free pickConn + atomic inc + atomic dec (serial)
BenchmarkFullRequestPath/conns=32-48                  	20224711	        31.74 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path: lock-free pickConn + atomic inc + atomic dec (serial)
BenchmarkFullRequestPathParallel/conns=1-48           	10759869	        52.23 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path under 48 concurrent goroutines — no reader lock
BenchmarkFullRequestPathParallel/conns=2-48           	 4610530	       130.1 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path under 48 concurrent goroutines — no reader lock
BenchmarkFullRequestPathParallel/conns=4-48           	 2916585	       201.1 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path under 48 concurrent goroutines — no reader lock
BenchmarkFullRequestPathParallel/conns=8-48           	 2340187	       262.2 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path under 48 concurrent goroutines — no reader lock
BenchmarkFullRequestPathParallel/conns=16-48          	 2744914	       220.1 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path under 48 concurrent goroutines — no reader lock
BenchmarkFullRequestPathParallel/conns=32-48          	 4316259	       136.8 ns/op	       0 B/op	       0 allocs/op	Full per-RPC hot path under 48 concurrent goroutines — no reader lock
BenchmarkFullRequestPathScalingDisabled/conns=1-48    	122601818	         5.005 ns/op	       0 B/op	       0 allocs/op	Full RPC hot path with dynamic scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabled/conns=2-48    	104829250	         5.683 ns/op	       0 B/op	       0 allocs/op	Full RPC hot path with dynamic scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabled/conns=4-48    	67291814	         8.391 ns/op	       0 B/op	       0 allocs/op	Full RPC hot path with dynamic scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabled/conns=8-48    	53486461	        12.03 ns/op	       0 B/op	       0 allocs/op	Full RPC hot path with dynamic scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabled/conns=16-48   	32381256	        16.71 ns/op	       0 B/op	       0 allocs/op	Full RPC hot path with dynamic scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabled/conns=32-48   	20263788	        27.46 ns/op	       0 B/op	       0 allocs/op	Full RPC hot path with dynamic scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabledParallel/conns=1-48         	17373690	        29.43 ns/op	       0 B/op	       0 allocs/op	Concurrent RPC path with scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabledParallel/conns=2-48         	 4764682	       124.5 ns/op	       0 B/op	       0 allocs/op	Concurrent RPC path with scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabledParallel/conns=4-48         	 3100359	       208.0 ns/op	       0 B/op	       0 allocs/op	Concurrent RPC path with scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabledParallel/conns=8-48         	 2396966	       248.8 ns/op	       0 B/op	       0 allocs/op	Concurrent RPC path with scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabledParallel/conns=16-48        	 2739934	       231.0 ns/op	       0 B/op	       0 allocs/op	Concurrent RPC path with scaling off — baseline comparison
BenchmarkFullRequestPathScalingDisabledParallel/conns=32-48        	 4437866	       134.0 ns/op	       0 B/op	       0 allocs/op	Concurrent RPC path with scaling off — baseline comparison
BenchmarkMaybeScaleDownAtMinConnections-48                         	125757660	         5.045 ns/op	       0 B/op	       0 allocs/op	maybeScaleDown early-exit at minConnections — lock-free snapshot scan
BenchmarkMaybeScaleDownHighLoad/conns=1-48                         	119375533	         4.755 ns/op	       0 B/op	       0 allocs/op	maybeScaleDown when load too high to drain — lock-free scan
BenchmarkMaybeScaleDownHighLoad/conns=2-48                         	67900040	         7.748 ns/op	       0 B/op	       0 allocs/op	maybeScaleDown when load too high to drain — lock-free scan
