goos: linux
goarch: amd64
pkg: go.uber.org/yarpc/transport/internal/connpool
cpu: AMD EPYC 7B13
BenchmarkIncStreamCount-48                            	245349937	         2.466 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecStreamCount-48                            	245344959	         2.434 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetStreamCount-48                            	1000000000	         0.3160 ns/op	       0 B/op	       0 allocs/op
BenchmarkIncDecStreamCount-48                         	122317135	         4.904 ns/op	       0 B/op	       0 allocs/op
BenchmarkIncDecStreamCountParallel-48                 	16711522	        38.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetState-48                                  	1000000000	         0.3145 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetState-48                                  	100000000	         5.073 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsActive-48                                  	1000000000	         0.3263 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConn/conns=1-48                          	172285398	         3.517 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConn/conns=2-48                          	142507394	         4.167 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConn/conns=4-48                          	100000000	         5.658 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConn/conns=8-48                          	63687979	         9.519 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConn/conns=16-48                         	35062723	        16.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConn/conns=32-48                         	19371784	        30.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConnUniformLoad/conns=1-48               	173834678	         3.479 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConnUniformLoad/conns=2-48               	145985989	         4.091 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConnUniformLoad/conns=4-48               	100000000	         5.482 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConnUniformLoad/conns=8-48               	63683517	         9.194 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConnUniformLoad/conns=16-48              	36985987	        16.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConnUniformLoad/conns=32-48              	19849284	        29.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConnSkewedLoad/conns=1-48                	188488980	         3.276 ns/op	       0 B/op	       0 allocs/op
BenchmarkPickConnSkewedLoad/conns=2-48                	157713410	         3.782 ns/op	       0 B/op	       0 allocs/op
